Index,Time,HIGH,LOW,LAST,FIRST
280,00:00.0,0.90532,0.9031,0.90469,0.90446
281,00:00.0,0.90556,0.90446,0.90553,0.90468
282,00:00.0,0.90566,0.90452,0.90481,0.90554
283,00:00.0,0.90491,0.90421,0.9043,0.90476
284,00:00.0,0.90502,0.9039,0.90427,0.90427
285,00:00.0,0.90477,0.90421,0.90452,0.90432
286,00:00.0,,,,
287,00:00.0,,,,
288,00:00.0,,,,
289,00:00.0,,,,
290,00:00.0,,,,
291,00:00.0,,,,
292,00:00.0,,,,
293,00:00.0,,,,
294,00:00.0,,,,
295,00:00.0,,,,
296,00:00.0,,,,
297,00:00.0,,,,
298,00:00.0,,,,
299,00:00.0,,,,
300,00:00.0,,,,
301,00:00.0,,,,
302,00:00.0,,,,
303,00:00.0,,,,
304,00:00.0,,,,
305,00:00.0,,,,
306,00:00.0,,,,
307,00:00.0,,,,
308,00:00.0,,,,
309,00:00.0,,,,
310,00:00.0,,,,
311,00:00.0,,,,
312,00:00.0,,,,
313,00:00.0,,,,
314,00:00.0,,,,
315,00:00.0,,,,
316,00:00.0,,,,
317,00:00.0,,,,
318,00:00.0,,,,
319,00:00.0,,,,
320,00:00.0,,,,
321,00:00.0,,,,
322,00:00.0,,,,
323,00:00.0,,,,
324,00:00.0,,,,
325,00:00.0,,,,
326,00:00.0,,,,
327,00:00.0,,,,
328,00:00.0,,,,
329,00:00.0,,,,
330,00:00.0,,,,
331,00:00.0,0.90285,0.90029,0.9021,
332,00:00.0,0.90285,0.90079,0.90127,0.90216
333,00:00.0,0.90127,0.90052,0.90109,0.90113
334,00:00.0,0.90187,0.90112,0.90171,0.90112
335,00:00.0,0.90183,0.90062,0.90074,0.90169
336,00:00.0,0.90181,0.90075,0.90121,0.90075
337,00:00.0,0.90123,0.90002,0.90093,
338,00:00.0,0.90173,0.9003,0.90131,0.90092
339,00:00.0,0.90145,0.90051,0.90087,0.90129
340,00:00.0,0.90152,0.90063,0.90138,0.90086
341,00:00.0,0.90141,0.89909,0.89969,0.90137
342,00:00.0,0.89988,0.89846,0.8996,0.8997
343,00:00.0,0.90027,0.89906,0.90008,0.89959
344,00:00.0,0.90032,0.89893,0.89956,0.90009
345,00:00.0,0.90069,0.89923,0.90047,0.89955
346,00:00.0,0.90162,0.90032,0.90149,0.90046
347,00:00.0,0.90273,0.90143,0.90186,0.9015
348,00:00.0,0.90207,0.90115,0.9019,0.90184
349,00:00.0,0.90333,0.90173,0.90329,0.90188
350,00:00.0,0.90502,0.90294,0.90472,0.90327
351,00:00.0,0.9049,0.90291,0.903,0.90471
352,00:00.0,0.90311,0.90177,0.90266,0.90301
353,00:00.0,0.90303,0.90233,0.90288,0.90264
354,00:00.0,0.9041,0.90284,0.90361,0.90287
355,00:00.0,0.90397,0.90272,0.90282,0.90362
356,00:00.0,0.90357,0.90255,0.90266,0.90284
357,00:00.0,0.90345,0.90242,0.90308,0.90267
358,00:00.0,0.90507,0.903,0.90362,0.90304
359,00:00.0,0.90365,0.90291,0.90326,0.90365
360,00:00.0,0.9038,0.90307,0.90343,0.90322
361,00:00.0,0.9038,0.90261,0.90368,
362,00:00.0,0.9057,0.90325,0.90452,0.90367
363,00:00.0,0.90488,0.90409,0.90451,0.90453
364,00:00.0,0.90453,0.90305,0.90341,0.90449
365,00:00.0,0.90363,0.90107,0.90111,0.90342
366,00:00.0,0.90175,0.90013,0.90074,0.9011
367,00:00.0,0.90101,0.89899,0.89975,0.90075
368,00:00.0,0.90161,0.89956,0.90131,0.89974
369,00:00.0,0.90139,0.90024,0.90084,0.90133
370,00:00.0,0.90151,0.90049,0.90083,0.90083
371,00:00.0,0.90288,0.90084,0.90212,0.90084
372,00:00.0,0.9034,0.90192,0.90332,0.90213
373,00:00.0,0.90351,0.90267,0.90312,0.90331
374,00:00.0,0.90404,0.90305,0.90343,0.90311
375,00:00.0,0.90354,0.90269,0.90288,0.90342
376,00:00.0,0.91043,0.90238,0.90896,0.90287
377,00:00.0,0.91153,0.90735,0.90935,0.90897
378,00:00.0,0.91089,0.90906,0.91068,0.90934
379,00:00.0,0.91067,0.90921,0.90925,0.91067
380,00:00.0,0.90993,0.90921,0.90956,0.90923
381,00:00.0,0.90969,0.90894,0.90957,0.90952
382,00:00.0,0.90975,0.90874,0.90875,0.90956
383,00:00.0,0.90879,0.90761,0.9078,0.90874
384,00:00.0,0.90863,0.90781,0.90816,0.90785
385,00:00.0,0.90854,0.90772,0.90791,
386,00:00.0,0.90796,0.90618,0.90689,0.90789
387,00:00.0,0.90769,0.90667,0.90667,0.9069
388,00:00.0,0.90743,0.90651,0.90727,0.90668
389,00:00.0,0.90754,0.90689,0.90747,0.90726
390,00:00.0,0.90772,0.90646,0.90706,0.90749
391,00:00.0,0.90826,0.9064,0.90719,0.90705
392,00:00.0,0.90731,0.90644,0.90661,0.9072
393,00:00.0,0.90783,0.90624,0.9078,0.90659
394,00:00.0,0.90781,0.90684,0.90685,0.90779
395,00:00.0,0.90691,0.90624,0.90659,0.90684
